Date,Open,High,Low,Close,Adj Close,Volume
2015-09-23,137.868073,138.212234,136.472275,137.342255,99.284996,2797213
2015-09-24,136.328873,138.690247,135.707458,138.059280,99.803314,3431194
2015-09-25,139.149139,139.837479,138.173996,139.024857,100.501320,3634222
2015-09-28,138.068832,138.986618,136.204590,136.252396,98.497131,4515896
2015-09-29,135.745697,136.386230,134.942642,136.204590,98.462585,4982621
2015-09-30,137.370941,139.302109,137.342255,138.594650,100.190353,4127725
2015-10-01,138.919693,139.263855,135.363297,137.275330,99.236610,4059421
2015-10-02,134.847031,138.231354,134.378586,138.221802,99.920807,3194902
2015-10-05,139.407272,143.298279,139.407272,142.485657,103.003181,5367863
2015-10-06,142.504776,143.546844,141.959854,142.237091,102.823463,3156933
2015-10-07,143.441681,144.101334,142.313583,143.489487,103.728859,3117917
2015-10-08,143.107071,146.290634,142.724670,145.583176,105.242363,5014942
2015-10-09,145.755264,146.414917,144.617584,145.688339,105.318367,3693531
2015-10-12,145.697891,145.869980,144.216064,144.493301,104.454491,3376070
2015-10-13,144.149139,144.149139,142.619507,143.040146,103.403999,4095822
2015-10-14,143.021027,144.024857,142.466537,143.412994,103.673508,3507238
2015-10-15,144.273422,144.588913,142.045883,143.489487,103.728859,3636105
2015-10-16,143.833649,144.550674,142.695984,143.776291,103.936157,3643950
2015-10-19,143.260040,143.374756,141.854691,142.657745,103.127579,8320616
2015-10-20,136.223709,136.596558,134.101334,134.455063,97.197807,16762778
2015-10-21,134.082214,136.386230,133.173996,134.722748,97.391335,7312168
2015-10-22,135.506699,138.690247,135.391968,137.753342,99.582176,5840027
2015-10-23,138.250473,139.091782,137.380493,138.317398,99.989906,5617438
2015-10-26,138.384323,138.623322,136.912048,137.342255,99.284996,3649912
2015-10-27,137.198853,137.504776,131.290634,131.797318,95.276535,15698891
2015-10-28,131.854691,135.019119,131.453156,134.636703,97.329140,8902924
2015-10-29,134.187378,134.627151,132.906311,134.369019,97.135628,3881078
2015-10-30,134.263855,135.114716,133.747604,133.919693,96.810814,4167264
2015-11-02,134.321228,134.340347,133.432129,134.196945,97.011246,3998021
2015-11-03,133.862335,136.520081,133.747604,135.640533,98.054794,4549472
2015-11-04,136.281067,136.376678,135.086044,135.401535,97.882042,3678677
2015-11-05,135.382416,136.118546,133.489487,133.738052,96.679489,5331357
2015-11-06,132.504776,133.412994,131.806885,132.170166,96.442291,4963165
2015-11-09,131.854691,132.007645,128.948380,129.359467,94.391403,8447078
2015-11-10,129.407272,129.770554,128.221802,129.512421,94.502998,4728757
2015-11-11,130.105164,130.210327,128.585083,129.082214,94.189079,3310381
2015-11-12,128.776291,128.776291,127.160614,127.189293,92.807861,4917664
2015-11-13,127.103249,127.151054,125.860420,125.956024,91.907959,4826035
2015-11-16,125.994263,128.193115,125.994263,127.829826,93.275223,4383577
2015-11-17,128.317398,128.891006,127.447418,127.934990,93.351959,2944595
2015-11-18,128.862335,129.933075,128.355637,129.847031,94.747169,4340063
2015-11-19,130.219879,131.682602,130.028687,130.726578,95.388969,4972266
2015-11-20,131.328873,132.810699,131.214142,132.409180,96.616730,5414514
2015-11-23,132.437866,132.762909,131.089859,132.370941,96.588837,5374243
2015-11-24,131.596558,133.212234,131.271515,132.504776,96.686470,3564454
2015-11-25,132.284897,132.342255,131.338425,131.931168,96.267914,3387157
2015-11-27,131.931168,132.705551,131.175903,132.370941,96.588837,1480927
2015-11-30,132.514343,133.747604,132.428299,133.288712,97.258499,4754698
2015-12-01,133.441681,135.181641,133.441681,135.066925,98.556030,4388075
2015-12-02,134.732315,135.000000,133.365204,133.556412,97.453835,3896768
2015-12-03,133.938812,134.541107,132.112808,132.810699,96.909721,6181442
2015-12-04,132.017212,134.818359,131.921600,134.254303,97.963081,4781894
2015-12-07,133.996170,134.235184,132.705551,133.412994,97.349182,3430252
2015-12-08,132.198853,132.944550,131.481842,131.978973,96.302780,4084839
2015-12-09,131.338425,133.690247,130.238998,130.602295,95.298233,4827290
2015-12-10,131.003830,131.787766,129.751434,130.764816,95.416862,4416526
2015-12-11,129.282990,129.483749,128.021027,128.652008,93.875153,5579155
2015-12-14,129.359467,130.152969,128.126190,129.952194,94.823906,5380415
2015-12-15,131.357559,132.858505,131.242828,131.730408,96.121429,4433471
2015-12-16,133.001907,133.508606,131.730408,133.164429,97.167816,4545393
2015-12-17,133.221802,133.365204,130.315491,130.736145,95.395927,4277617
2015-12-18,130.411087,130.936905,128.365204,128.967499,94.105377,10487301
2015-12-21,129.856598,129.856598,128.126190,129.541107,94.523918,5875905
2015-12-22,129.904404,132.112808,129.684509,131.864243,96.219078,4459935
2015-12-23,132.217972,133.183563,132.036331,132.447418,96.644630,5402485
2015-12-24,132.342255,132.772461,132.036331,132.170166,96.442291,1563979
2015-12-28,131.682602,131.969406,130.535370,131.558319,95.995865,3287996
2015-12-29,132.170166,133.900574,132.122375,133.632889,97.509636,4125110
2015-12-30,133.441681,134.263855,133.097519,133.212234,97.202698,3126912
2015-12-31,132.954117,132.982788,131.520081,131.567871,96.002815,3621357
2016-01-04,129.636703,129.990433,128.336517,129.971313,94.837845,5469952
2016-01-05,130.745697,130.869980,128.919693,129.875717,94.768082,4105341
2016-01-06,128.470367,129.617584,127.743790,129.225616,94.293739,4509201
2016-01-07,127.820267,129.082214,126.606117,127.017204,92.682281,7348987
2016-01-08,127.323135,127.934990,125.544930,125.841301,91.824249,4981784
2016-01-11,126.013382,127.934990,125.965584,127.370934,92.940384,5203222
2016-01-12,127.772469,127.896751,125.363289,127.055450,92.710197,5312320
2016-01-13,127.629066,128.374756,125.334610,125.401527,91.503365,4916305
2016-01-14,126.128105,127.906311,125.449333,127.065010,92.717163,5972242
2016-01-15,124.292542,125.124283,123.202675,124.311661,90.708084,9422891
2016-01-19,124.388145,126.290634,122.428299,122.476097,89.368706,10438662
2016-01-20,113.250481,118.537285,112.810707,116.500954,85.008751,16901059
2016-01-21,115.965584,119.598473,115.277245,117.504784,85.741234,9258774
2016-01-22,119.187378,119.254303,116.414917,117.112808,85.455215,9663366
2016-01-25,116.730400,118.766731,116.290634,116.711281,85.162201,5696516
2016-01-26,116.873802,118.173996,116.864243,117.198853,85.517998,4830219
2016-01-27,117.332695,117.944550,115.344170,115.640533,84.380943,5257614
2016-01-28,115.927345,117.428299,115.688339,116.845123,85.259903,4123855
2016-01-29,117.858505,119.302101,117.552582,119.302101,87.052711,8627513
2016-02-01,118.929253,119.780113,118.269600,119.340347,87.080605,3739345
2016-02-02,118.231361,118.680687,117.246651,117.533463,85.762161,3438516
2016-02-03,118.537285,119.933075,116.912048,119.235184,87.003876,6509781
2016-02-04,119.579353,122.848946,119.502869,122.036331,89.047821,5508759
2016-02-05,121.625237,122.982796,120.315491,122.915871,89.689613,7507874
2016-02-08,120.458893,121.902489,118.671127,121.395790,89.485245,7702744
2016-02-09,120.573616,121.347992,118.326958,118.613770,87.434509,6231231
2016-02-10,119.502869,119.780113,114.569794,114.904396,84.700203,6766679
2016-02-11,113.556404,114.397705,111.759079,112.667305,83.051155,7643750
2016-02-12,114.015297,115.726578,113.145317,115.717018,85.299217,5163579
2016-02-16,116.472275,117.676865,116.003822,117.342255,86.497238,4248224
2016-02-17,118.269600,121.003822,117.829826,120.554497,88.865089,5042766
2016-02-18,124.282982,128.107071,124.043976,126.625237,93.340050,10409374
2016-02-19,126.539200,127.772469,125.086044,127.227531,93.784004,5361064
2016-02-22,127.227531,128.403442,126.586998,127.887192,94.270271,4662440
2016-02-23,127.284897,127.543022,126.204590,126.577438,93.304817,3597926
2016-02-24,125.764816,127.619499,123.977058,126.959846,93.586700,4312240
2016-02-25,127.428299,128.594650,125.124283,128.585083,94.784721,4558782
2016-02-26,128.594650,128.986618,126.147224,126.223709,93.044067,4587965
2016-02-29,126.195030,127.495216,125.143402,125.267685,92.339355,4631688
2016-03-01,126.424477,128.718933,126.223709,128.460800,94.693123,3962771
2016-03-02,127.820267,131.395798,127.361374,130.305923,96.053185,5457191
2016-03-03,131.185471,131.892929,130.086044,131.739960,97.110283,5393594
2016-03-04,131.491394,133.288712,130.994263,131.739960,97.110283,4150946
2016-03-07,131.242828,134.330780,130.850861,133.986618,98.766380,5408866
2016-03-08,133.565964,134.177826,131.376678,132.954117,98.005302,5835739
2016-03-09,133.183563,135.917786,133.107071,134.235184,98.949623,4609199
2016-03-10,135.028687,135.248566,132.017212,134.024857,98.794579,4205548
2016-03-11,135.497131,136.634796,134.330780,136.099426,100.323822,4625307
2016-03-14,135.764816,136.892929,134.837479,136.500961,100.619812,4235045
2016-03-15,135.506699,137.026764,135.315491,136.673035,100.746658,3878045
2016-03-16,136.347992,138.508606,135.860428,138.422562,102.036293,4416107
2016-03-17,138.412994,140.841293,138.097519,140.573608,103.621918,6089394
2016-03-18,140.917786,141.022949,139.110901,140.621414,103.657104,12645826
2016-03-21,140.822174,142.170166,140.267685,142.093689,104.742401,3892794
2016-03-22,141.548752,142.715103,141.338425,141.587006,104.368919,4269667
2016-03-23,141.491394,141.520081,138.747604,139.005737,102.466156,4983353
2016-03-24,138.604202,141.701721,138.135757,141.443588,104.263199,5276547
2016-03-28,141.252396,142.112808,140.755264,141.873810,104.580338,3415295
2016-03-29,141.099426,143.173996,141.013382,142.762909,105.235718,3282871
2016-03-30,143.355637,143.795410,141.797318,141.883362,104.587379,3484435
2016-03-31,143.202682,146.367111,142.791580,144.789673,106.729729,7092508
2016-04-01,143.891006,146.233276,143.642441,145.812622,107.483780,4106073
2016-04-04,145.640533,146.768646,145.229446,145.382416,107.166649,4112035
2016-04-05,144.770554,144.933075,143.068832,143.403442,105.707863,3490502
2016-04-06,143.307846,143.546844,141.309753,143.422562,105.721954,4387552
2016-04-07,142.514343,143.021027,141.491394,141.730408,104.474602,3831498
2016-04-08,142.504776,143.393875,141.606125,142.782028,105.249802,3445315
2016-04-11,143.652008,145.267685,142.657745,142.686417,105.179321,4023021
2016-04-12,143.030594,143.508606,142.045883,143.049713,105.447144,3761207
2016-04-13,144.120453,144.579346,143.049713,144.579346,106.574661,3314146
2016-04-14,144.837479,146.042068,143.766724,144.512421,106.525345,3322619
2016-04-15,144.397705,145.411087,144.321228,145.047806,106.919983,3825850
2016-04-18,145.047806,146.405350,144.827911,145.822174,107.490807,6884458
2016-04-19,140.028687,140.487579,136.338425,137.667297,101.479553,13796949
